SK_ID_CURR,TARGET,CODE_GENDER,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY
100002,1,M,0,202500,406597.5,24700.5,351000,0.018801,-9461,-637,-3648,-2120,,1,1,0,1,1,0,1,2,2,10,0,0,0,0,0,0
100003,0,F,0,270000,1293502.5,35698.5,1129500,0.003541,-16765,-1188,-1186,-291,,1,1,0,1,1,0,2,1,1,11,0,0,0,0,0,0
100004,0,M,0,67500,135000,6750,135000,0.010032,-19046,-225,-4260,-2531,26,1,1,1,1,1,0,1,2,2,9,0,0,0,0,0,0
100006,0,F,0,135000,312682.5,29686.5,297000,0.008019,-19005,-3039,-9833,-2437,,1,1,0,1,0,0,2,2,2,17,0,0,0,0,0,0
100007,0,M,0,121500,513000,21865.5,513000,0.028663,-19932,-3038,-4311,-3458,,1,1,0,1,0,0,1,2,2,11,0,0,0,0,1,1
100008,0,M,0,99000,490495.5,27517.5,454500,0.035792,-16941,-1588,-4970,-477,,1,1,1,1,1,0,2,2,2,16,0,0,0,0,0,0
100009,0,F,1,171000,1560726,41301,1395000,0.035792,-13778,-3130,-1213,-619,17,1,1,0,1,1,0,3,2,2,16,0,0,0,0,0,0
100010,0,M,0,360000,1530000,42075,1530000,0.003122,-18850,-449,-4597,-2379,8,1,1,1,1,0,0,2,3,3,16,0,0,0,0,1,1
100011,0,F,0,112500,1019610,33826.5,913500,0.018634,-20099,365243,-7427,-3514,,1,0,0,1,0,0,2,2,2,14,0,0,0,0,0,0
100012,0,M,0,135000,405000,20250,405000,0.019689,-14469,-2019,-14437,-3992,,1,1,0,1,0,0,1,2,2,8,0,0,0,0,0,0
100014,0,F,1,112500,652500,21177,652500,0.0228,-10197,-679,-4427,-738,,1,1,0,1,0,0,3,2,2,15,0,0,0,0,0,0
100015,0,F,0,38419.155,148365,10678.5,135000,0.015221,-20417,365243,-5246,-2512,,1,0,0,1,1,0,2,2,2,7,0,0,0,0,0,0
100016,0,F,0,67500,80865,5881.5,67500,0.031329,-13439,-2717,-311,-3227,,1,1,1,1,1,0,2,2,2,10,0,0,0,0,0,0
100017,0,M,1,225000,918468,28966.5,697500,0.016612,-14086,-3028,-643,-4911,23,1,1,0,1,0,0,3,2,2,13,0,0,0,0,0,0
100018,0,F,0,189000,773680.5,32778,679500,0.010006,-14583,-203,-615,-2056,,1,1,0,1,0,0,2,2,1,9,0,0,0,0,0,0
100019,0,M,0,157500,299772,20160,247500,0.020713,-8728,-1157,-3494,-1368,17,1,1,0,1,0,0,1,3,3,6,0,0,0,1,1,0
100020,0,M,0,108000,509602.5,26149.5,387000,0.018634,-12931,-1317,-6392,-3866,,1,1,0,1,0,0,2,2,2,12,0,0,0,1,1,0
100021,0,F,1,81000,270000,13500,270000,0.010966,-9776,-191,-4143,-2427,,1,1,0,1,0,0,3,2,2,10,0,0,0,1,1,0
100022,0,F,0,112500,157500,7875,157500,0.04622,-17718,-7804,-8751,-1259,,1,1,0,1,1,0,1,1,1,13,0,0,0,0,0,0
100023,0,F,1,90000,544491,17563.5,454500,0.015221,-11348,-2038,-1021,-3964,,1,1,1,1,1,0,2,2,2,12,0,0,0,0,0,0
100024,0,M,0,135000,427500,21375,427500,0.015221,-18252,-4286,-298,-1800,7,1,1,0,1,0,0,2,2,2,13,0,0,0,0,0,0
100025,0,F,1,202500,1132573.5,37561.5,927000,0.025164,-14815,-1652,-2299,-2299,14,1,1,0,1,0,0,3,2,2,9,0,0,0,0,0,0
100026,0,F,1,450000,497520,32521.5,450000,0.020713,-11146,-4306,-114,-2518,,1,1,0,1,0,0,3,3,2,6,0,0,0,0,0,0
100027,0,F,0,83250,239850,23850,225000,0.006296,-24827,365243,-9012,-3684,,1,0,0,1,1,0,2,3,3,12,0,0,0,0,0,0
100029,0,M,2,135000,247500,12703.5,247500,0.026392,-11286,-746,-108,-3729,7,1,1,0,1,0,0,4,2,2,14,0,0,0,0,1,1
100030,0,F,0,90000,225000,11074.5,225000,0.028663,-19334,-3494,-2419,-2893,,1,1,0,1,1,0,2,2,2,8,0,0,0,0,0,0
100031,1,F,0,112500,979992,27076.5,702000,0.018029,-18724,-2628,-6573,-1827,,1,1,0,1,0,0,1,3,2,9,0,0,0,0,0,0
100032,0,M,1,112500,327024,23827.5,270000,0.019101,-15948,-1234,-5782,-3153,,1,1,0,1,0,0,3,2,2,10,0,0,0,0,1,1
100033,0,M,0,270000,790830,57676.5,675000,0.04622,-9994,-1796,-4668,-2661,1,1,1,0,1,0,1,1,1,1,11,0,1,1,0,0,0
100034,0,M,0,90000,180000,9000,180000,0.030755,-10341,-1010,-4799,-3015,,1,1,0,1,0,0,1,2,2,16,0,0,0,0,0,0
100035,0,F,0,292500,665892,24592.5,477000,0.025164,-15280,-2668,-5266,-3787,,1,1,0,1,0,1,2,2,2,13,0,0,0,0,0,0
100036,0,F,0,112500,512064,25033.5,360000,0.008575,-11144,-1104,-7846,-2904,,1,1,0,1,0,0,2,2,2,12,0,0,0,0,0,0
100037,0,F,0,90000,199008,20893.5,180000,0.010032,-12974,-4404,-7123,-4464,,1,1,1,1,0,0,2,2,2,11,0,0,0,0,0,0
100039,0,M,1,360000,733315.5,39069,679500,0.015221,-11694,-2060,-3557,-3557,3,1,1,0,1,0,0,3,2,2,10,0,0,0,1,1,0
100040,0,F,0,135000,1125000,32895,1125000,0.019689,-15997,-4585,-5735,-4067,,1,1,0,1,0,0,2,2,2,14,0,0,0,0,0,0
100041,0,F,0,112500,450000,44509.5,450000,0.008575,-12158,-1275,-6265,-2009,,1,1,1,1,1,0,2,2,2,19,0,0,0,0,0,0
100043,0,F,2,198000,641173.5,23157,553500,0.01885,-17199,-768,-63,-735,,1,1,1,1,1,0,4,2,2,13,0,0,0,0,0,0
100044,0,M,0,121500,454500,15151.5,454500,0.030755,-21077,-1288,-5474,-4270,,1,1,0,1,1,0,2,2,2,10,0,0,0,0,1,1
